aX,aY,aZ,gX,gY,gZ
-2.6272,3.3352,-1.0003,47.32,-7.84,-123.48
-0.8659,4.0345,-1.6083,68.18,-21.21,-136.5
-0.6561,4.2071,-0.7708,68.53,-29.47,-147.84
-1.4975,4.2835,-0.6982,75.67,-38.36,-155.82
-2.3595,4.4983,-0.7414,92.12,-43.61,-172.48
-2.7753,5.1161,-0.9905,111.86,-46.41,-185.85
-2.7135,6.035,-0.4501,123.41,-44.45,-197.05
-1.9809,7.1451,0.3638,129.78,-41.09,-206.92
-0.962,8.4661,0.7463,119.98,-33.46,-218.54
-0.2726,9.9155,1.1817,102.83,-24.57,-231.35
-0.306,10.8393,1.6701,90.51,-24.99,-242.55
-0.7463,10.9109,2.1202,88.55,-35.21,-249.62
-0.861,11.1884,2.3732,93.94,-51.59,-253.26
-0.5021,12.1455,2.182,98.42,-68.95,-256.83
0.0,13.4282,1.6946,98.0,-83.93,-262.08
0.3109,14.6158,0.9718,94.92,-87.29,-267.12
0.6649,15.6151,0.5021,91.35,-87.08,-268.94
1.2925,16.4291,0.3011,89.53,-83.16,-266.98
3.6088,17.1185,0.2824,88.41,-79.45,-259.14
4.1011,17.8314,0.6365,79.8,-80.78,-249.97
5.1063,18.5346,1.3062,70.63,-82.25,-241.71
5.8909,18.1619,1.4406,63.98,-81.9,-230.23
7.0824,17.549,1.2876,60.9,-83.86,-211.33
9.5713,16.8694,1.5749,53.69,-87.08,-187.6
12.8065,15.7828,0.9522,33.25,-80.71,-171.29
13.6057,14.2089,0.7031,17.99,-62.09,-156.1
12.0455,12.3897,1.8907,20.58,-25.2,-136.01
11.3041,11.107,2.6704,28.49,-12.6,-107.31
11.768,10.801,2.5409,24.57,-9.1,-74.06
12.5574,10.4186,2.6223,13.65,-7.28,-41.58
13.0507,9.9449,3.0391,4.62,-0.07,-12.39
12.0936,9.5762,3.2205,-1.96,13.51,21.7
11.0835,9.4752,2.8233,-4.13,21.63,49.07
10.4186,9.5566,2.3879,-9.52,22.54,73.71
9.5095,9.686,2.0918,-14.0,24.71,93.1
8.4033,9.8822,1.6318,-22.68,24.85,103.6
4.211,11.7101,-1.9623,-40.18,32.55,102.27
-6.997,15.6877,-8.1935,-73.71,84.63,55.16
-18.2139,15.065,2.637,-37.52,157.08,45.36
-13.1458,7.6521,6.9823,12.95,47.95,31.71
-6.0301,8.3798,-2.0486,-27.02,-63.49,43.68
-0.3393,7.3265,2.4791,42.35,-114.94,89.53
7.8581,9.8302,-3.6471,23.87,-142.38,106.19
9.1977,14.1657,-4.3983,7.98,-110.53,94.64
-0.6649,14.5384,4.7141,-53.62,-15.12,69.16
-1.6416,8.1836,-0.861,-33.81,4.2,43.68
-0.5502,6.5518,-3.7854,-20.58,-67.2,54.04
-0.8904,7.2216,-1.6701,22.05,-100.1,75.6
0.0961,9.6046,0.8708,15.05,-77.0,75.53
2.484,11.313,-0.1098,5.6,-49.49,56.0
2.7184,11.4375,-0.2873,-12.6,-27.58,41.02
0.9856,8.6956,-0.254,-14.63,-7.49,38.01
0.1393,7.3795,-0.7708,-7.42,-2.31,37.52
0.1245,8.6573,-0.3354,2.38,4.62,36.82
0.5786,9.5281,0.1726,3.64,14.0,32.76
1.0101,10.1313,0.4354,-0.56,18.34,28.07
0.3354,9.9302,0.5217,-1.89,19.67,26.95
-0.4786,9.3604,0.2344,2.45,9.03,28.63
-1.1101,9.1457,0.0431,4.9,-4.41,31.15
-1.1729,9.1506,-0.4354,10.08,-14.63,34.93
-0.6561,9.4085,-0.7129,10.36,-19.67,32.41
0.2971,9.6144,-1.0621,6.51,-15.54,29.75
0.7375,9.7243,-1.1435,2.45,-5.6,27.23
0.5021,9.5664,-1.3739,-1.68,6.16,26.18
-0.1912,9.2026,-1.7515,0.63,13.02,24.57
-0.5933,9.026,-1.9143,2.66,12.04,25.69
-0.5884,9.1839,-1.8231,4.06,5.04,29.89
-0.6512,9.3271,-1.4259,1.89,-1.26,33.6
-0.3785,9.3036,-1.1631,1.12,-9.52,35.28
-0.2108,9.4281,-0.7375,0.42,-18.2,35.49
0.2197,9.485,-0.3109,-0.14,-23.45,36.75
1.1729,9.5566,0.761,-2.17,-25.27,39.41
1.675,9.9155,1.7613,-2.8,-12.88,41.65
1.3827,10.2028,1.6034,-8.26,1.05,43.96
0.3638,9.8439,0.5266,-11.55,6.23,44.8
0.0235,9.2702,-0.2108,-14.42,-0.42,45.01
0.4737,9.1212,-0.7796,-10.78,-8.89,47.53
0.8757,9.4085,-0.3109,-9.8,-17.36,52.15
0.814,9.586,0.2775,-15.33,-16.24,55.23
1.3543,9.6242,0.1098,-20.16,-10.36,57.96
1.7946,9.5478,0.3687,-28.91,-2.03,64.26
2.0192,9.4997,-0.2628,-16.8,-0.98,71.33
1.3445,9.9734,0.2628,-21.98,4.69,66.57
1.2494,9.839,0.0284,-24.01,2.1,63.42
1.2925,9.4899,0.254,-21.7,-1.89,60.48
