aX,aY,aZ,gX,gY,gZ,label
-0.2089,1.3181,0.0503,81.97,20.58,-484.89,running
0.0732,1.3571,0.0742,116.13,15.19,-492.31,running
0.2094,1.5367,0.0878,126.07,-11.34,-484.61,running
0.4943,1.729,0.0956,147.28,-12.6,-492.17,running
0.9736,1.9823,0.0551,159.6,-30.31,-482.44,running
1.6084,2.4576,0.3328,117.6,-42.56,-442.4,running
2.5083,2.8865,0.6764,101.36,-50.68,-381.78,running
3.6385,3.0022,0.7803,59.92,-80.78,-289.59,running
4.169,2.3717,0.4924,-7.91,-66.71,-228.62,running
4.515,1.1053,0.2772,-51.31,-37.87,-188.65,running
4.4867,0.3143,0.1186,-5.6,-8.47,-99.4,running
4.4081,0.3533,-0.1596,-5.39,-23.73,15.68,running
4.3725,0.2079,-0.1264,-53.41,-35.0,91.42,running
3.9738,-0.0815,0.2826,-62.3,-38.5,130.9,running
2.9475,-0.0893,0.2508,-59.92,-62.3,131.88,running
1.9808,-0.002,-0.2118,-51.52,-120.61,115.64,running
0.8008,0.3138,-3.8518,-7.91,-93.73,96.81,running
2.2087,2.6791,3.3369,-135.8,259.77,75.11,running
0.1757,6.2122,1.6084,-195.65,-210.28,358.12,running
-0.2352,0.9306,-0.2674,177.59,-120.61,398.02,running
0.0322,-0.8994,-0.0024,-179.2,-18.48,248.99,running
0.04,-1.3347,-0.4704,82.18,4.13,29.54,running
1.0643,-0.6622,-1.1107,287.42,-53.06,72.73,running
2.0672,1.3874,1.7553,49.7,-110.04,314.51,running
0.303,2.0237,-0.0717,-5.11,-12.46,272.23,running
0.2699,1.0653,-0.3743,-21.35,-30.03,202.02,running
0.7008,0.9589,-0.7618,11.06,-19.04,123.48,running
0.651,1.016,-0.1098,8.19,10.71,113.33,running
0.652,0.7588,0.0878,-21.07,34.3,137.97,running
0.7257,0.6334,-0.2313,16.45,58.59,130.2,running
0.5475,0.8452,-0.1884,31.43,56.28,104.51,running
0.5124,0.8838,-0.2733,10.29,52.08,93.17,running
0.5763,0.8516,-0.2533,14.42,46.76,78.19,running
0.7422,0.8291,-0.3972,17.29,39.9,54.32,running
0.7862,0.8696,-0.3689,15.4,20.58,66.5,running
0.7349,0.9379,-0.223,8.33,16.31,65.1,running
0.6407,0.9623,-0.1479,6.58,24.01,57.68,running
0.7442,1.0365,-0.1947,19.04,32.41,57.05,running
0.793,1.3352,-0.3016,25.41,46.55,61.67,running
0.7735,1.3913,-0.3148,27.58,63.0,77.49,running
0.9013,1.5679,-0.2679,34.16,81.62,109.76,running
0.7554,1.4986,-0.5017,74.48,85.26,72.94,running
0.3001,1.6182,0.0156,6.93,102.41,91.0,running
0.8501,1.6133,-0.1737,38.71,96.81,108.15,running
0.6261,1.8261,-0.2025,37.31,105.91,104.58,running
0.4177,1.972,-0.3787,25.48,123.76,113.82,running
0.3567,1.9915,-0.6983,16.94,146.79,120.68,running
0.1596,2.0433,-0.9135,29.4,149.66,114.03,running
0.0264,2.0877,-1.178,11.2,126.0,92.68,running
-0.3294,2.3819,-0.8355,-72.17,140.63,66.92,running
-0.6725,2.1643,-0.712,-51.38,162.61,42.63,running
-0.7144,1.7456,-0.3704,-36.82,172.69,75.25,running
0.1108,1.4396,-0.0483,13.58,137.13,177.94,running
0.5871,1.4674,-0.9013,5.25,116.69,216.02,running
-0.5905,2.2184,-1.0111,-21.84,107.03,190.75,running
-1.1258,2.1604,-1.2005,-33.67,122.99,210.98,running
-0.5061,1.5162,-0.9311,-45.29,101.43,261.31,running
-1.1497,1.4864,-1.2605,14.77,34.86,247.38,running
-0.205,1.2961,-1.2205,-7.91,-32.55,241.22,running
0.4514,1.75,-1.462,-129.5,-79.52,195.86,running
-0.7032,2.1208,-1.2151,-154.21,-110.46,30.94,running
-1.2298,1.1936,-0.6871,-79.45,-127.82,-13.51,running
-0.9618,0.3767,-0.549,-66.71,-121.73,-15.12,running
-0.7203,0.0854,-0.3733,-47.74,-132.16,-35.0,running
-0.7788,0.1444,-0.0869,-12.67,-196.28,46.9,running
0.1381,0.1606,-0.3728,38.99,158.9,-184.66,running
-1.0668,0.6471,-0.2011,48.93,14.0,-315.63,running
-0.8574,0.305,-0.0337,59.36,21.98,-363.86,running
