aX,aY,aZ,gX,gY,gZ,label
-0.0376,-1.0048,0.1249,2.31,-1.05,-0.07,still
-0.0376,-1.0043,0.1225,2.1,-1.19,0.0,still
-0.039,-1.0058,0.1235,2.03,-1.19,-0.07,still
-0.0361,-1.0063,0.1205,2.17,-1.12,-0.14,still
-0.0376,-1.0048,0.1225,2.24,-1.19,0.0,still
-0.0395,-1.0038,0.121,2.52,-1.05,-0.07,still
-0.041,-1.0067,0.1215,2.1,-1.26,-0.14,still
-0.04,-1.0048,0.124,1.96,-1.12,17.85,still
-0.0395,-1.0048,0.123,2.1,-1.12,-0.07,still
-0.04,-1.0053,0.1215,2.38,-1.19,-0.07,still
-0.0381,-1.0043,0.123,2.24,-1.12,-0.07,still
-0.0386,-1.0053,0.121,2.1,-1.26,-0.14,still
-0.0366,-1.0043,0.121,2.1,-1.12,-0.07,still
-0.041,-1.0053,0.121,2.24,-1.26,-0.21,still
-0.0395,-1.0053,0.1215,2.52,-1.19,-0.21,still
-0.0386,-1.0048,0.1225,2.59,-0.91,-0.21,still
-0.039,-1.0058,0.122,2.17,-1.19,-0.14,still
-0.04,-1.0028,0.1225,2.17,-1.05,-0.21,still
-0.0395,-1.0058,0.1225,2.1,-1.19,-0.14,still
-0.041,-1.0067,0.1215,2.45,-1.05,-0.14,still
-0.0395,-1.0038,0.122,2.45,-1.26,-0.21,still
-0.039,-1.0058,0.1225,2.38,-1.19,-0.14,still
-0.0395,-1.0048,0.1235,2.17,-1.19,-0.28,still
-0.0381,-1.0043,0.123,2.1,-1.19,-0.07,still
-0.0386,-1.0038,0.1244,2.24,-1.19,0.14,still
-0.0376,-1.0014,0.123,2.31,-0.91,-0.14,still
-0.039,-1.0009,0.122,2.03,-1.19,0.21,still
-0.0371,-1.0063,0.1215,2.1,-1.19,-0.35,still
-0.0425,-1.0053,0.12,2.24,-1.12,-0.07,still
-0.0371,-1.0058,0.1191,2.31,-1.05,0.07,still
-0.0395,-1.0028,0.1205,2.52,-1.4,-0.07,still
-0.0381,-1.0048,0.1215,2.45,-1.26,-0.14,still
-0.0376,-1.0038,0.123,2.38,-1.12,-0.21,still
-0.039,-1.0028,0.123,2.1,-1.12,-0.28,still
-0.0381,-1.0067,0.122,1.89,-1.12,-0.21,still
-0.0386,-1.0058,0.1215,2.45,-1.12,-0.07,still
-0.0386,-1.0063,0.1181,2.73,-1.12,-0.07,still
-0.0376,-1.0033,0.1225,2.66,-1.12,-0.07,still
-0.0381,-1.0053,0.1269,2.03,-1.05,-0.07,still
-0.04,-1.0053,0.1235,1.68,-1.26,-0.14,still
-0.0386,-1.0048,0.12,1.89,-1.19,-0.07,still
-0.041,-1.0063,0.1186,2.31,-1.19,-0.07,still
-0.04,-1.0077,0.12,2.52,-1.12,-0.07,still
-0.0405,-1.0038,0.122,2.52,-1.12,-0.21,still
-0.039,-1.0033,0.1235,2.38,-1.26,-0.14,still
-0.041,-1.0063,0.122,1.96,-0.91,-0.21,still
-0.04,-1.0028,0.122,2.03,-1.26,-0.14,still
-0.041,-1.0043,0.122,2.24,-1.19,-0.14,still
-0.0381,-1.0043,0.1215,2.59,-1.19,-0.14,still
-0.0386,-1.0033,0.122,2.31,-1.12,-0.21,still
-0.0395,-1.0048,0.1244,2.17,-1.19,-0.28,still
-0.04,-1.0048,0.123,2.1,-1.12,-0.14,still
-0.039,-1.0048,0.1225,2.17,-1.19,-0.21,still
-0.0395,-1.0048,0.1225,2.1,-1.4,-0.07,still
-0.0395,-1.0063,0.1225,2.31,-1.26,-0.28,still
-0.04,-1.0053,0.122,2.31,-1.05,-0.07,still
-0.0395,-1.0043,0.121,2.17,-1.05,-0.28,still
-0.0386,-1.0038,0.121,2.38,-1.05,-0.07,still
-0.0371,-1.0043,0.1225,2.17,-1.19,-0.28,still
-0.039,-1.0038,0.1205,2.03,-1.33,-0.14,still
-0.041,-1.0028,0.1196,2.45,-1.19,0.0,still
-0.0381,-1.0058,0.122,2.38,-1.12,-0.14,still
-0.039,-1.0053,0.1235,2.17,-1.12,-0.14,still
-0.0376,-1.0038,0.124,2.1,-1.26,-0.07,still
-0.0395,-1.0038,0.1225,2.38,-1.19,-0.14,still
-0.039,-1.0043,0.1235,2.38,-1.33,-0.07,still
-0.0381,-1.0053,0.1215,2.31,-0.98,-0.14,still
-0.0395,-1.0038,0.1215,2.31,-1.12,-0.07,still
-0.04,-1.0063,0.123,2.31,-1.05,-0.14,still
-0.04,-1.0053,0.1225,2.17,-1.12,-0.14,still
-0.039,-1.0048,0.122,2.45,-1.05,-0.21,still
-0.0405,-1.0043,0.122,2.17,-1.26,-0.14,still
-0.0376,-1.0043,0.124,2.31,-1.05,-0.07,still
-0.0386,-1.0048,0.123,2.31,-1.12,-0.14,still
-0.04,-1.0067,0.1235,2.31,-1.26,-0.14,still
-0.0405,-1.0053,0.1225,2.17,-1.26,-0.07,still
-0.0415,-1.0024,0.1205,2.17,-1.26,-0.14,still
-0.0405,-1.0063,0.122,2.1,-1.19,-0.21,still
-0.0386,-1.0043,0.1205,2.24,-1.19,-0.21,still
-0.039,-1.0058,0.123,2.45,-1.19,0.0,still
-0.0376,-1.0043,0.124,2.17,-1.19,-0.14,still
-0.0371,-1.0058,0.124,2.1,-1.33,-0.21,still
-0.0395,-1.0053,0.122,2.24,-0.84,-0.21,still
-0.0386,-1.0053,0.1181,2.24,-1.19,0.0,still
-0.0381,-1.0033,0.1225,2.24,-1.05,-0.14,still
-0.04,-1.0043,0.123,2.17,-1.05,-0.14,still
-0.039,-1.0048,0.1205,2.1,-1.4,-0.14,still
-0.0366,-1.0058,0.1225,2.24,-1.05,-0.07,still
-0.0415,-1.0038,0.1225,2.17,-1.12,-0.21,still
-0.0386,-1.0043,0.12,2.17,-1.12,-0.14,still
-0.0386,-1.0058,0.121,2.38,-1.12,-0.07,still
-0.0395,-1.0058,0.1215,2.38,-1.05,-0.14,still
-0.0381,-1.0072,0.1215,2.38,-1.05,-0.14,still
-0.0386,-1.0038,0.12,2.17,-1.05,-0.14,still
-0.0386,-1.0053,0.123,2.17,-1.4,-0.14,still
-0.0386,-1.0048,0.1215,2.38,-1.12,-0.07,still
-0.04,-1.0038,0.123,2.31,-1.12,-0.14,still
-0.0395,-1.0048,0.124,2.38,-1.26,-0.21,still
-0.0376,-1.0038,0.123,2.17,-1.12,-0.21,still
-0.041,-1.0058,0.1215,2.17,-1.19,-0.14,still
-0.039,-1.0048,0.1244,2.17,-1.33,-0.14,still
-0.041,-1.0053,0.1215,2.1,-1.12,-0.14,still
-0.0381,-1.0077,0.1225,2.45,-0.98,-0.14,still
-0.0395,-1.0028,0.1225,2.45,-0.98,-0.07,still
-0.0405,-1.0058,0.122,2.24,-1.12,-0.14,still
-0.0415,-1.0048,0.1225,2.17,-1.26,-0.14,still
-0.0395,-1.0058,0.1225,2.24,-0.98,-0.07,still
-0.0395,-1.0048,0.1225,2.24,-1.26,-0.14,still
-0.039,-1.0038,0.1225,2.31,-1.05,-0.07,still
-0.0371,-1.0053,0.1235,2.24,-0.91,-0.07,still
-0.0395,-1.0033,0.1225,2.1,-1.26,-0.14,still
-0.0386,-1.0024,0.122,2.17,-1.12,-0.07,still
-0.039,-1.0053,0.123,2.03,-1.26,-0.21,still
-0.0381,-1.0048,0.1191,2.17,-1.19,-0.14,still
-0.0395,-1.0053,0.121,2.31,-1.19,-0.14,still
-0.04,-1.0053,0.1225,2.38,-0.98,-0.14,still
-0.0405,-1.0028,0.123,2.24,-1.12,0.0,still
-0.0381,-1.0048,0.1235,2.1,-1.26,-0.07,still
-0.0386,-1.0043,0.122,2.1,-1.05,-0.14,still
-0.0395,-1.0063,0.122,2.24,-1.19,-0.21,still
-0.041,-1.0053,0.1225,2.17,-1.26,-0.07,still
-0.039,-1.0058,0.122,2.31,-1.12,-0.14,still
-0.0386,-1.0043,0.121,2.1,-1.26,0.0,still
-0.0376,-1.0028,0.1215,2.03,-1.05,-0.21,still
-0.0366,-1.0058,0.122,2.17,-1.19,-0.14,still
-0.0395,-1.0043,0.122,2.17,-1.05,-0.14,still
-0.039,-1.0067,0.123,2.38,-1.05,-0.14,still
-0.0395,-1.0043,0.124,2.31,-1.19,-0.14,still
-0.0395,-1.0058,0.1244,2.1,-1.12,-0.14,still
-0.0386,-1.0058,0.122,1.89,-1.19,-0.14,still
-0.0405,-1.0048,0.121,2.24,-1.12,-0.14,still
-0.0386,-1.0067,0.1215,2.24,-1.12,-0.21,still
-0.0371,-1.0058,0.124,2.17,-1.19,-0.21,still
-0.039,-1.0043,0.122,2.1,-1.26,-0.14,still
-0.0395,-1.0048,0.1225,2.17,-1.19,-0.14,still
-0.0386,-1.0053,0.12,2.31,-1.05,-0.07,still
-0.0386,-1.0058,0.1215,2.24,-1.19,-0.07,still
-0.0395,-1.0048,0.1225,2.1,-1.19,-0.21,still
-0.0405,-1.0053,0.1215,2.38,-1.33,-0.07,still
-0.0371,-1.0038,0.122,2.17,-1.12,0.0,still
-0.04,-1.0063,0.123,2.1,-0.98,-0.14,still
-0.039,-1.0048,0.12,2.24,-1.12,-0.14,still
-0.041,-1.0058,0.121,2.24,-1.26,-0.07,still
-0.039,-1.0058,0.1225,2.31,-1.12,-0.07,still
-0.0381,-1.0048,0.1225,2.17,-1.12,-0.14,still
-0.0386,-1.0048,0.1225,2.1,-1.26,-0.21,still
-0.039,-1.0058,0.1215,2.17,-1.26,-0.21,still
-0.0405,-1.0053,0.1196,2.24,-1.12,-0.14,still
-0.0376,-1.0063,0.1205,2.52,-1.12,0.0,still
-0.0405,-1.0058,0.123,2.24,-1.26,-0.21,still
-0.0386,-1.0048,0.1225,2.17,-1.12,0.0,still
-0.0386,-1.0053,0.1205,2.17,-0.91,-0.14,still
-0.0381,-1.0058,0.121,1.96,-1.12,-0.14,still
-0.0395,-1.0053,0.1205,2.38,-1.19,-0.21,still
-0.0381,-1.0067,0.122,2.45,-1.19,-0.14,still
-0.041,-1.0048,0.124,2.31,-1.05,-0.07,still
-0.0366,-1.0043,0.1244,2.24,-1.19,-0.14,still
-0.0386,-1.0043,0.1249,2.24,-1.12,-0.07,still
-0.0381,-1.0067,0.1225,1.96,-1.26,-0.07,still
-0.04,-1.0033,0.121,2.1,-1.12,-0.14,still
-0.0381,-1.0038,0.1215,2.1,-1.12,-0.21,still
-0.0395,-1.0048,0.1235,2.31,-1.05,-0.07,still
-0.039,-1.0058,0.122,2.24,-1.05,-0.21,still
-0.0386,-1.0033,0.1235,2.17,-1.12,-0.14,still
-0.0395,-1.0033,0.124,2.17,-1.19,-0.14,still
-0.0376,-1.0048,0.1205,2.24,-1.19,-0.14,still
-0.0395,-1.0043,0.121,2.17,-1.12,-0.14,still
-0.0381,-1.0038,0.1215,2.38,-1.05,0.0,still
-0.0381,-1.0043,0.124,2.38,-1.26,-0.21,still
-0.0395,-1.0038,0.1235,2.17,-1.33,-0.14,still
-0.0405,-1.0053,0.1205,2.1,-1.19,-0.14,still
-0.0405,-1.0058,0.1235,2.17,-1.19,-0.14,still
-0.039,-1.0053,0.122,2.38,-1.12,-0.14,still
-0.0386,-1.0048,0.1225,2.45,-1.12,-0.21,still
-0.041,-1.0072,0.1235,2.45,-1.05,-0.07,still
-0.039,-1.0048,0.1225,2.31,-1.19,-0.14,still
-0.041,-1.0063,0.122,2.1,-1.12,-0.07,still
-0.0381,-1.0048,0.1215,2.1,-1.26,-0.07,still
-0.0381,-1.0048,0.1225,2.31,-1.19,-0.14,still
-0.039,-1.0063,0.122,2.31,-1.26,-0.14,still
-0.04,-1.0028,0.122,2.38,-1.19,-0.07,still
-0.0405,-1.0048,0.1244,2.1,-1.19,-0.14,still
-0.039,-1.0033,0.1225,1.96,-1.19,0.0,still
-0.0386,-1.0033,0.1196,2.1,-1.19,-0.07,still
-0.0381,-1.0067,0.1205,2.31,-1.26,-0.14,still
-0.039,-1.0048,0.123,2.38,-1.12,-0.14,still
-0.0381,-1.0058,0.123,2.31,-1.12,-0.14,still
-0.0381,-1.0028,0.12,2.1,-1.19,-0.07,still
-0.041,-1.0043,0.1225,2.24,-1.12,-0.07,still
-0.04,-1.0082,0.12,2.1,-1.33,-0.14,still
-0.039,-1.0043,0.1186,2.52,-0.98,0.0,still
-0.0386,-1.0053,0.121,2.45,-0.98,-0.07,still
-0.041,-1.0048,0.123,2.31,-1.12,-0.14,still
-0.0381,-1.0048,0.122,1.96,-1.33,0.0,still
-0.0395,-1.0053,0.1205,2.31,-0.98,-0.14,still
-0.0386,-1.0053,0.1244,2.31,-1.05,-0.14,still
-0.04,-1.0053,0.122,2.24,-1.19,-0.07,still
-0.0395,-1.0053,0.122,2.38,-1.26,-0.21,still
-0.0381,-1.0043,0.123,2.1,-1.33,-0.07,still
-0.039,-1.0053,0.1215,2.17,-1.12,-0.28,still
-0.0386,-1.0063,0.123,2.24,-1.12,-0.14,still
-0.039,-1.0048,0.121,2.38,-1.26,-0.14,still
-0.0386,-1.0058,0.123,2.31,-1.19,-0.07,still
-0.039,-1.0038,0.1225,2.24,-1.33,-0.14,still
-0.0395,-1.0038,0.1215,2.17,-1.19,-0.07,still
-0.04,-1.0058,0.122,2.24,-0.98,-0.21,still
-0.041,-1.0028,0.1215,2.24,-1.19,-0.14,still
-0.04,-1.0058,0.124,2.52,-1.19,-0.21,still
-0.0366,-1.0048,0.124,2.38,-1.19,-0.14,still
-0.0395,-1.0053,0.1225,2.03,-1.12,-0.14,still
-0.042,-1.0048,0.1225,2.17,-1.05,-0.07,still
-0.04,-1.0067,0.1215,2.24,-1.12,-17.92,still
-0.039,-1.0063,0.122,2.24,-1.33,-0.21,still
-0.0395,-1.0043,0.124,2.17,-1.33,-0.14,still
-0.0395,-1.0038,0.1215,2.31,-1.12,-0.07,still
-0.039,-1.0053,0.122,2.1,-1.05,-0.14,still
-0.0386,-1.0063,0.124,2.1,-1.33,-0.07,still
-0.04,-1.0038,0.1215,2.24,-1.12,-0.07,still
-0.039,-1.0048,0.121,2.31,-1.05,-0.14,still
-0.0381,-1.0043,0.12,2.24,-0.98,-0.07,still
-0.039,-1.0033,0.122,2.31,-1.26,-0.14,still
-0.0371,-1.0058,0.1235,2.17,-1.19,-0.07,still
-0.0395,-1.0058,0.1235,2.03,-1.4,-0.14,still
-0.0386,-1.0048,0.123,2.38,-1.33,-0.07,still
-0.039,-1.0053,0.123,2.31,-1.12,-0.14,still
-0.039,-1.0058,0.123,2.38,-1.12,0.07,still
-0.0366,-1.0038,0.1225,2.17,-1.19,-0.14,still
-0.0395,-1.0048,0.1225,2.17,-1.19,-0.14,still
-0.0376,-1.0048,0.122,2.03,-1.19,-0.14,still
-0.0376,-1.0038,0.1215,2.03,-1.33,-0.14,still
-0.039,-1.0043,0.122,2.24,-1.33,-0.07,still
-0.0395,-1.0048,0.122,2.17,-1.33,-0.07,still
-0.039,-1.0053,0.122,2.38,-1.19,-0.14,still
-0.0395,-1.0058,0.1244,2.38,-1.19,-0.14,still
-0.039,-1.0053,0.1225,2.24,-1.26,0.0,still
-0.04,-1.0048,0.123,2.1,-1.26,-0.14,still
-0.039,-1.0053,0.1225,2.17,-1.05,-0.07,still
-0.039,-1.0019,0.12,2.17,-1.26,-0.14,still
-0.039,-1.0048,0.1235,2.31,-1.26,0.0,still
-0.0395,-1.0058,0.122,2.31,-0.91,-0.21,still
-0.041,-1.0063,0.1225,2.17,-1.26,-0.14,still
-0.0395,-1.0058,0.1235,2.24,-1.12,-0.07,still
-0.0381,-1.0058,0.1205,2.1,-1.05,-0.14,still
-0.0386,-1.0048,0.1225,2.31,-1.26,-0.07,still
-0.0395,-1.0028,0.1215,2.38,-1.05,-0.07,still
-0.0371,-1.0043,0.122,2.03,-1.12,-0.14,still
-0.0381,-1.0053,0.1215,1.96,-1.33,-0.14,still
-0.0376,-1.0043,0.121,2.17,-1.19,-0.07,still
-0.0381,-1.0053,0.121,2.31,-1.05,-0.14,still
-0.04,-1.0053,0.123,2.24,-1.12,-0.07,still
-0.0376,-1.0038,0.1235,2.24,-1.19,0.0,still
-0.0405,-1.0058,0.1225,2.17,-1.12,-0.07,still
-0.04,-1.0067,0.124,1.96,-1.33,-0.21,still
-0.0366,-1.0043,0.1186,2.38,-0.91,-0.07,still
-0.0395,-1.0048,0.121,2.31,-1.26,-0.07,still
-0.0386,-1.0038,0.122,2.31,-1.12,-0.21,still
-0.0395,-1.0048,0.1235,2.24,-1.12,-0.07,still
-0.041,-1.0033,0.122,2.24,-1.12,-0.07,still
-0.04,-1.0033,0.122,2.1,-1.12,-0.07,still
-0.04,-1.0058,0.121,2.24,-1.19,-0.07,still
-0.0376,-1.0048,0.122,2.24,-1.26,-0.07,still
-0.0386,-1.0082,0.124,2.24,-1.05,-0.14,still
-0.0386,-1.0033,0.1225,2.24,-1.26,0.07,still
-0.039,-1.0058,0.122,2.24,-1.12,-0.07,still
-0.0395,-1.0053,0.1215,2.24,-1.12,-0.07,still
-0.039,-1.0058,0.121,2.03,-1.33,0.0,still
-0.0366,-1.0058,0.1215,2.1,-1.12,-0.07,still
-0.0386,-1.0048,0.12,2.24,-1.19,-0.07,still
-0.0381,-1.0038,0.1235,2.31,-1.19,-0.07,still
-0.0381,-1.0033,0.123,2.38,-1.19,-0.14,still
-0.039,-1.0033,0.1225,2.31,-1.12,-0.07,still
-0.0386,-1.0067,0.1225,2.24,-1.12,-0.14,still
-0.039,-1.0043,0.121,2.38,-1.05,-0.14,still
-0.039,-1.0043,0.122,2.24,-1.33,-0.14,still
-0.0361,-1.0067,0.1215,2.24,-1.05,-0.21,still
-0.0376,-1.0058,0.123,2.24,-1.19,0.0,still
-0.0381,-1.0043,0.121,2.24,-1.12,-0.14,still
-0.04,-1.0043,0.124,2.17,-1.12,-0.14,still
-0.041,-1.0082,0.1215,1.96,-1.33,-0.07,still
-0.041,-1.0063,0.12,2.24,-1.12,-0.14,still
-0.039,-1.0067,0.123,2.17,-1.19,-0.14,still
-0.0386,-1.0067,0.1225,2.38,-1.26,-0.07,still
-0.0376,-1.0048,0.1225,2.1,-1.05,-0.14,still
-0.0381,-1.0028,0.12,2.1,-1.26,-0.14,still
-0.0395,-1.0053,0.121,2.38,-1.19,0.0,still
-0.04,-1.0063,0.123,2.17,-1.19,-0.14,still
-0.0381,-1.0048,0.1225,2.31,-1.19,-0.07,still
-0.039,-1.0043,0.122,2.1,-1.19,-0.14,still
-0.0381,-1.0058,0.121,2.17,-1.12,-0.07,still
-0.04,-1.0043,0.1225,2.24,-1.05,-0.14,still
-0.0405,-1.0058,0.1225,2.1,-1.33,-0.14,still
-0.0395,-1.0058,0.123,2.38,-0.98,0.0,still
-0.039,-1.0063,0.124,2.1,-1.19,-0.07,still
-0.0376,-1.0043,0.1264,2.17,-1.19,-0.07,still
-0.0395,-1.0043,0.122,2.17,-1.12,-0.14,still
-0.0386,-1.0063,0.123,2.31,-1.05,-0.14,still
-0.04,-1.0048,0.1215,2.24,-1.12,-0.07,still
-0.0395,-1.0038,0.1205,2.17,-1.26,-0.07,still
-0.0415,-1.0038,0.1225,2.24,-0.98,-0.07,still
-0.039,-1.0058,0.1244,2.24,-1.12,-0.14,still
-0.04,-1.0053,0.1235,2.17,-1.12,-0.07,still
-0.0381,-1.0038,0.1235,2.1,-1.05,-0.14,still
-0.0405,-1.0048,0.121,2.24,-1.19,-0.14,still
-0.04,-1.0043,0.1225,2.1,-1.05,-0.14,still
-0.0381,-1.0048,0.1215,2.24,-1.19,-0.14,still
-0.039,-1.0063,0.124,2.24,-1.26,-0.14,still
-0.039,-1.0043,0.1225,2.17,-1.05,-0.07,still
-0.0386,-1.0063,0.1244,2.17,-1.05,-0.21,still
-0.0381,-1.0058,0.122,2.24,-1.19,-0.07,still
-0.0405,-1.0053,0.1235,2.1,-1.26,-0.14,still
-0.0395,-1.0043,0.1215,2.17,-1.05,-0.14,still
-0.0405,-1.0053,0.122,2.1,-1.33,-0.21,still
-0.0371,-1.0067,0.1235,2.03,-1.19,-0.14,still
-0.0376,-1.0063,0.1205,2.17,-1.33,-0.21,still
-0.0386,-1.0048,0.123,2.24,-1.12,-0.14,still
-0.0386,-1.0053,0.121,2.31,-1.12,-0.07,still
-0.0376,-1.0053,0.122,2.31,-1.12,-0.14,still
-0.0405,-1.0033,0.122,2.17,-1.19,-0.14,still
-0.0371,-1.0033,0.121,2.24,-1.26,-0.07,still
-0.04,-1.0053,0.122,2.1,-1.05,-0.07,still
-0.04,-1.0048,0.123,2.24,-1.05,-0.07,still
-0.0405,-1.0048,0.1186,2.24,-1.12,-0.07,still
-0.04,-1.0053,0.124,2.24,-0.98,-0.14,still
-0.0381,-1.0048,0.1215,2.31,-1.05,-0.21,still
-0.041,-1.0043,0.1225,2.1,-1.19,-0.07,still
-0.0381,-1.0082,0.1215,2.24,-1.26,-0.14,still
-0.0395,-1.0058,0.1225,2.31,-1.26,-0.07,still
-0.04,-1.0038,0.1225,2.31,-1.19,-0.07,still
-0.0386,-1.0048,0.124,2.17,-0.98,-0.07,still
-0.0386,-1.0063,0.121,2.1,-1.12,-0.21,still
-0.0415,-1.0058,0.121,2.31,-1.19,-0.28,still
-0.039,-1.0053,0.1225,2.17,-1.26,-17.92,still
-0.0405,-1.0048,0.1205,2.03,-1.05,-0.14,still
-0.0371,-1.0063,0.1205,2.24,-1.26,-0.14,still
-0.0381,-1.0053,0.1235,2.24,-1.12,-0.14,still
-0.0395,-1.0067,0.1235,2.17,-0.98,-0.14,still
-0.0405,-1.0038,0.1235,2.17,-1.12,-0.07,still
-0.04,-1.0058,0.122,2.17,-1.05,-0.14,still
-0.039,-1.0063,0.1215,2.03,-1.4,-0.14,still
-0.039,-1.0067,0.123,2.1,-1.4,-0.14,still
-0.0386,-1.0048,0.1205,2.24,-1.05,0.0,still
-0.0386,-1.0063,0.122,2.24,-1.33,-0.14,still
-0.0405,-1.0063,0.122,2.03,-1.12,0.0,still
-0.0395,-1.0043,0.1215,2.17,-1.12,0.0,still
-0.0366,-1.0043,0.1215,2.38,-0.98,-0.07,still
-0.0366,-1.0043,0.1244,2.31,-1.12,-0.14,still
-0.0386,-1.0043,0.1225,2.17,-1.12,-0.07,still
-0.0386,-1.0043,0.121,2.31,-1.19,-0.14,still
-0.0405,-1.0043,0.1244,2.03,-1.05,-0.14,still
-0.041,-1.0048,0.121,2.1,-1.19,-0.14,still
-0.0395,-1.0038,0.1225,2.24,-1.26,-0.14,still
-0.04,-1.0058,0.1205,2.24,-1.12,-0.21,still
-0.041,-1.0058,0.1244,2.31,-1.12,-0.07,still
-0.04,-1.0033,0.122,2.17,-1.05,-0.07,still
-0.0395,-1.0048,0.1235,2.03,-1.19,-0.14,still
-0.039,-1.0067,0.1205,2.17,-1.12,-0.07,still
-0.039,-1.0038,0.1225,2.24,-1.26,-0.14,still
-0.039,-1.0063,0.122,2.31,-1.19,-0.14,still
-0.0395,-1.0038,0.122,2.24,-1.05,-0.28,still
-0.039,-1.0033,0.1225,2.17,-1.12,-0.14,still
-0.0386,-1.0048,0.1215,2.24,-1.05,-0.07,still
-0.0425,-1.0053,0.1225,2.24,-0.98,0.0,still
-0.04,-1.0028,0.123,2.24,-1.12,-0.14,still
-0.04,-1.0038,0.1225,2.38,-0.91,-0.14,still
-0.0366,-1.0063,0.1225,2.17,-1.12,-0.14,still
-0.0415,-1.0043,0.122,2.1,-1.05,-0.14,still
-0.0381,-1.0033,0.1225,2.1,-1.33,-0.07,still
-0.04,-1.0043,0.1215,2.24,-1.19,-0.14,still
-0.0381,-1.0058,0.123,2.24,-1.19,-0.07,still
-0.039,-1.0053,0.121,2.31,-1.05,-0.14,still
-0.04,-1.0063,0.1225,2.45,-1.33,-0.07,still
-0.0376,-1.0053,0.123,2.24,-1.12,-0.28,still
-0.041,-1.0058,0.1235,2.1,-1.33,-0.21,still
-0.04,-1.0038,0.1225,2.17,-1.19,-0.14,still
-0.0386,-1.0053,0.1225,2.31,-1.26,-0.14,still
-0.04,-1.0043,0.122,1.96,-1.4,-0.07,still
-0.039,-1.0053,0.1225,2.31,-1.12,-0.14,still
-0.0366,-1.0038,0.1244,2.24,-1.05,-0.07,still
-0.0376,-1.0063,0.123,2.1,-1.12,-0.21,still
-0.0381,-1.0033,0.12,2.24,-1.19,-0.07,still
-0.04,-1.0043,0.122,2.17,-1.26,-0.21,still
-0.0381,-1.0053,0.1225,2.24,-1.12,0.07,still
-0.0386,-1.0043,0.122,2.24,-1.19,-0.14,still
-0.0386,-1.0048,0.1205,2.1,-1.19,17.85,still
-0.04,-1.0053,0.1215,2.1,-1.4,-0.14,still
-0.041,-1.0063,0.122,2.31,-1.05,-0.14,still
-0.0381,-1.0058,0.1205,2.24,-1.19,-0.14,still
-0.0386,-1.0028,0.1215,2.38,-1.12,-0.07,still
-0.04,-1.0063,0.121,2.17,-1.12,-0.14,still
-0.0415,-1.0058,0.1196,2.24,-1.05,-0.21,still
-0.0405,-1.0063,0.121,2.38,-0.91,-0.14,still
-0.0371,-1.0058,0.1215,2.31,-1.26,-0.14,still
-0.0386,-1.0048,0.121,2.38,-1.12,-0.07,still
-0.0395,-1.0043,0.123,2.45,-1.26,-0.14,still
-0.0376,-1.0058,0.122,2.17,-1.26,-0.07,still
-0.04,-1.0038,0.1235,2.24,-1.12,-0.14,still
-0.0381,-1.0058,0.121,2.24,-1.19,-0.14,still
-0.04,-1.0048,0.1205,2.17,-1.19,-0.14,still
-0.0381,-1.0028,0.121,2.31,-1.12,-0.07,still
-0.0395,-1.0058,0.1235,2.31,-1.12,-0.14,still
-0.041,-1.0048,0.1235,2.24,-1.26,-0.28,still
-0.0405,-1.0058,0.1225,2.31,-1.19,-0.14,still
-0.0395,-1.0063,0.1225,2.17,-1.26,-0.07,still
-0.0395,-1.0028,0.12,2.31,-1.05,-0.07,still
-0.0395,-1.0063,0.121,2.17,-1.19,-0.07,still
-0.0381,-1.0058,0.1235,2.03,-1.12,-0.07,still
-0.0386,-1.0038,0.1205,2.03,-1.33,-0.14,still
-0.0376,-1.0043,0.121,2.1,-1.19,-0.07,still
-0.04,-1.0067,0.1244,2.24,-1.12,-0.07,still
-0.0395,-1.0058,0.123,2.31,-1.19,-0.14,still
-0.0381,-1.0048,0.123,2.1,-1.19,-0.21,still
-0.0381,-1.0048,0.123,2.17,-1.26,-0.07,still
-0.039,-1.0048,0.1215,2.24,-1.19,-0.07,still
-0.041,-1.0053,0.12,2.1,-1.26,-0.07,still
-0.041,-1.0063,0.121,2.38,-1.19,-0.14,still
-0.039,-1.0048,0.1235,2.45,-1.19,-0.14,still
-0.0386,-1.0048,0.122,2.24,-1.12,-0.21,still
-0.0405,-1.0043,0.1225,2.03,-1.33,-0.21,still
-0.04,-1.0038,0.124,2.03,-1.26,-0.07,still
-0.0415,-1.0038,0.121,2.24,-1.26,-0.14,still
-0.0381,-1.0063,0.1196,2.24,-1.05,-0.14,still
-0.04,-1.0043,0.124,2.24,-1.12,0.0,still
-0.0381,-1.0043,0.1205,2.38,-1.12,-0.21,still
-0.04,-1.0058,0.124,2.1,-1.26,-0.28,still
-0.0361,-1.0058,0.122,2.17,-1.19,-0.07,still
-0.039,-1.0072,0.1205,2.24,-1.19,-0.07,still
-0.0405,-1.0043,0.1191,2.38,-1.19,-0.07,still
-0.0386,-1.0053,0.124,2.38,-1.19,-0.14,still
-0.0381,-1.0033,0.124,2.31,-1.05,-0.14,still
-0.0405,-1.0048,0.1235,1.96,-1.05,-0.14,still
-0.0381,-1.0038,0.1196,1.96,-1.19,-0.14,still
-0.0386,-1.0063,0.121,2.45,-0.98,0.0,still
-0.0395,-1.0053,0.1205,2.52,-1.12,-0.21,still
-0.0405,-1.0058,0.123,2.38,-1.12,-0.07,still
-0.039,-1.0053,0.1225,1.89,-1.26,0.0,still
